Company Name,Ticker,Exchange,Equity Style,Russell Sub-Sector,Russell Industry
Abercrombie & Fitch Co,ANF,"New York Stock Exchange, Inc.",Small Value,Retail,Specialty retail
Acorn International Inc,ATV,"New York Stock Exchange, Inc.",Not Available,Media,Advertising agencies
Amazon.com Inc,AMZN,Nasdaq,Large Growth,Retail,Diversified retail
American Eagle Outfitters Inc,AEO,"New York Stock Exchange, Inc.",Small Value,Retail,Specialty retail
Aptiv PLC,APTV,"New York Stock Exchange, Inc.",Mid Growth,Auto & Auto Parts,Auto parts
Avon Products Inc,AVP,"New York Stock Exchange, Inc.",Small Growth,Consumer Products,Cosmetics
B2W - Companhia Digital,BTOW3,"B3 S.A. - Brasil, Bolsa, Balcão",Large Growth,Retail,Diversified retail
Bajaj Auto Ltd,532977,BSE LTD,Large Blend,Leisure,Recreational vehicles and boats
Barnes & Noble Education Inc,BNED,"New York Stock Exchange, Inc.",Small Blend,Retail,Specialty retail
Bata India Ltd,500043,BSE LTD,Mid Growth,Consumer Products,Textiles apparel and shoes
Bed Bath & Beyond Inc,BBBY,Nasdaq,Small Value,Retail,Specialty retail
Best Buy Co Inc,BBY,"New York Stock Exchange, Inc.",Mid Value,Retail,Specialty retail
BorgWarner Inc,BWA,"New York Stock Exchange, Inc.",Mid Value,Auto & Auto Parts,Auto parts
Bosch Ltd,500530,BSE LTD,Large Value,Auto & Auto Parts,Auto parts
Boyd Group Services Inc,BYD,Toronto Stock Exchange,Mid Growth,Auto & Auto Parts,Auto services
Build-A-Bear Workshop Inc,BBW,"New York Stock Exchange, Inc.",Small Value,Retail,Specialty retail
Burlington Stores Inc,BURL,"New York Stock Exchange, Inc.",Mid Growth,Retail,Specialty retail
Canada Goose Holdings Inc,GOOS,Toronto Stock Exchange,Mid Growth,Consumer Products,Textiles apparel and shoes
CarMax Inc,KMX,"New York Stock Exchange, Inc.",Mid Growth,Retail,Specialty retail
Carnival PLC,CCL,London Stock Exchange,Small Value,Leisure,Leisure time
Cheesecake Factory Inc,CAKE,Nasdaq,Small Value,Leisure,Restaurants
China Automotive Systems Inc,CAAS,Nasdaq,Small Value,Auto & Auto Parts,Auto parts
China Tourism Group Duty Free Corp Ltd,601888,Shanghai Stock Exchange,Large Growth,Leisure,Hotel/motel
Chipotle Mexican Grill Inc,CMG,"New York Stock Exchange, Inc.",Large Growth,Leisure,Restaurants
CognaEducacao SA,COGN3,"B3 S.A. - Brasil, Bolsa, Balcão",Mid Growth,Consumer Services,Education services
Comcast Corp,CMCSA,Nasdaq,Large Value,Media,Cable television services
Compass Group PLC,CPG,London Stock Exchange,Large Blend,Consumer Services,Vending and catering services
Core-Mark Holding Co Inc,CORE,Nasdaq,Small Blend,Retail,Diversified retail
Costco Wholesale Corp,COST,Nasdaq,Large Blend,Retail,Diversified retail
Daily Journal Corp,DJCO,Nasdaq,Small Growth,Media,Publishing
Del Frisco’s Restaurant Group Inc,DFRG,Nasdaq,Small Value,Leisure,Restaurants
Dollar General Corp,DG,"New York Stock Exchange, Inc.",Large Blend,Retail,Diversified retail
Dollar Tree Inc,DLTR,Nasdaq,Mid Blend,Retail,Diversified retail
Dollarama Inc,DOL,Toronto Stock Exchange,Mid Growth,Retail,Diversified retail
Domino’s Pizza Inc,DPZ,"New York Stock Exchange, Inc.",Mid Growth,Leisure,Restaurants
Foot Locker Inc,FL,"New York Stock Exchange, Inc.",Small Blend,Retail,Specialty retail
Ford Motor Co,F,"New York Stock Exchange, Inc.",Large Value,Auto & Auto Parts,Automobiles
Gap Inc,GPS,"New York Stock Exchange, Inc.",Mid Value,Retail,Specialty retail
General Motors Co,GM,"New York Stock Exchange, Inc.",Large Blend,Auto & Auto Parts,Automobiles
H&R Block Inc,HRB,"New York Stock Exchange, Inc.",Small Value,Consumer Services,Consumer services: Miscellaneous
Harley-Davidson Inc,HOG,"New York Stock Exchange, Inc.",Small Value,Leisure,Recreational vehicles and boats
Hasbro Inc,HAS,Nasdaq,Mid Blend,Consumer Products,Toys
Hero MotoCorp Ltd,500182,BSE LTD,Large Value,Leisure,Recreational vehicles and boats
Hibbett Sports Inc,HIBB,Nasdaq,Small Blend,Retail,Specialty retail
Honda Motor Co Ltd,HMC,"New York Stock Exchange, Inc.",Large Value,Auto & Auto Parts,Automobiles
Hostelworld Group PLC,HSW,London Stock Exchange,Small Value,Leisure,Leisure time
Hyatt Hotels Corp,H,"New York Stock Exchange, Inc.",Mid Blend,Leisure,Hotel/motel
Imax Corp,IMAX,"New York Stock Exchange, Inc.",Small Growth,Media,Entertainment
InterContinental Hotels Group PLC,IHG,London Stock Exchange,Mid Blend,Leisure,Hotel/motel
Jubilant Foodworks Ltd,533155,BSE LTD,Mid Growth,Leisure,Restaurants
Lands’ End Inc,LE,Nasdaq,Small Blend,Retail,Diversified retail
Las Vegas Sands Corp,LVS,"New York Stock Exchange, Inc.",Large Value,Leisure,Casinos and gambling
LCI Industries Inc,LCII,"New York Stock Exchange, Inc.",Small Growth,Leisure,Recreational vehicles and boats
Localiza Rent A Car SA,RENT3,"B3 S.A. - Brasil, Bolsa, Balcão",Large Growth,Consumer Services,Rental and leasing services: Consumer
Lojas Americanas SA,LAME4,"B3 S.A. - Brasil, Bolsa, Balcão",Large Growth,Retail,Diversified retail
Lojas Renner SA,LREN3,"B3 S.A. - Brasil, Bolsa, Balcão",Large Growth,Retail,Diversified retail
Lookers PLC,LOOK,London Stock Exchange,Small Value,Retail,Specialty retail
Lululemon Athletica Inc,LULU,Nasdaq,Large Growth,Consumer Products,Textiles apparel and shoes
Lyft Inc,LYFT,Nasdaq,Not Available,Consumer Services,Consumer services: Miscellaneous
Macy’s Inc,M,"New York Stock Exchange, Inc.",Small Value,Retail,Diversified retail
Magazine Luiza SA,MGLU3,"B3 S.A. - Brasil, Bolsa, Balcão",Large Growth,Retail,Diversified retail
Mahindra & Mahindra Ltd,500520,BSE LTD,Large Blend,Auto & Auto Parts,Automobiles
Marriott International Inc,MAR,Nasdaq,Large Value,Leisure,Hotel/motel
Maruti Suzuki India Ltd,532500,BSE LTD,Large Blend,Auto & Auto Parts,Automobiles
Mattel Inc,MAT,Nasdaq,Small Blend,Consumer Products,Toys
McDonald’s Corp,MCD,"New York Stock Exchange, Inc.",Large Blend,Leisure,Restaurants
